status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	2000	120	600	1.160	3.457	5.148	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.113	3.168	5.254	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	912	2004	1092	0	0	2004	2048	2048	7	64	
success	100	120	600	0.720	3.422	4.984	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.634	3.581	5.630	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.773	3.527	5.041	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.668	3.399	5.376	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	215	504	289	0	0	504	512	512	7	64	
success	1000	120	600	0.959	3.656	5.315	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.797	3.300	5.708	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	450	1004	554	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.145	3.445	6.198	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.131	3.223	5.247	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	911	2004	1093	0	0	2004	2048	2048	7	64	
success	100	120	600	0.735	3.211	5.290	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.598	3.615	5.006	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.753	3.411	5.766	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
