status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	2000	120	600	0.565	0.674	1.099	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2831	2834	826	2004	1178	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.701	0.896	1.587	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	838	2004	1166	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.543	0.857	1.564	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.561	0.771	1.475	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.571	0.808	1.460	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2836	2839	831	2004	1173	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.702	0.868	1.879	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	838	2004	1166	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.543	0.834	1.539	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.564	0.764	1.521	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.566	0.721	1.174	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2833	2836	828	2004	1176	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.705	0.894	1.760	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	840	2004	1164	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.546	0.823	1.417	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.565	0.767	1.413	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.566	0.720	1.110	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2833	2836	828	2004	1176	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.699	0.814	1.143	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	838	2004	1166	0	0	2004	2004	2048	2048	7	64	
success	1000	120	600	0.343	0.807	1.790	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.354	0.790	1.841	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.355	0.809	1.533	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.418	0.603	1.184	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.342	0.679	1.367	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.351	0.773	1.897	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.353	0.765	1.357	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.421	0.819	1.611	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	411	1004	593	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.341	0.762	1.576	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.353	0.787	1.762	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.358	0.853	1.812	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.418	0.597	1.313	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.342	0.806	1.464	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.351	0.790	1.434	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.354	0.763	1.760	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
