status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	100	120	600	0.184	0.477	1.605	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.190	0.977	1.595	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
success	100	120	600	0.192	0.442	1.353	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	39	104	65	0	0	104	5	256	256	7	64	
success	100	120	600	0.187	0.877	1.717	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	209	212	104	104	0	0	0	104	104	256	256	7	64	
success	100	120	600	0.187	0.658	1.515	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.183	0.333	1.390	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
success	100	120	600	0.197	0.679	2.418	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	39	104	65	0	0	104	5	256	256	7	64	
success	100	120	600	0.184	0.797	1.338	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	209	212	104	104	0	0	0	104	104	256	256	7	64	
success	100	120	600	0.183	0.724	1.253	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.186	0.368	1.575	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
success	100	120	600	0.187	0.486	1.458	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	39	104	65	0	0	104	5	256	256	7	64	
success	500	120	600	0.276	0.979	1.933	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
